1984,2021-10-13,DRAMA
"39 STEPS, THE ",2021-11-09,COMEDY
A MIDSUMMER NIGHT’S DREAM - IN NEW ORLEANS,2022-04-28,DRAMA
ANNIE JR,2022-03-11,MUSICAL
AS IS,2021-11-11,DRAMA
AS YOU LIKE IT ,2022-03-16,DRAMA
"AUDIENCE, THE",2022-05-05,DRAMA
BAKKHAI,2021-10-03,DRAMA
BARBARIANS,2022-06-01,DRAMA
BEAUTIFUL - THE CAROLE KING MUSICAL ,2021-09-05,MUSICAL
"BEAUX' STRATAGEM, THE",2021-12-02,COMEDY
BEND IT LIKE BECKHAM THE MUSICAL,2021-12-11,MUSICAL
BILLY ELLIOT - THE MUSICAL,2022-04-16,MUSICAL
"BOOK OF MORMON , THE",2022-02-27,MUSICAL
BRAINSTORM,2022-03-02,DRAMA
BREAKFAST AT TIFFANY'S,2022-07-02,DRAMA
"CARETAKER, THE",2022-06-28,DRAMA
CATS,2021-10-04,MUSICAL
CHARLIE AND THE CHOCOLATE FACTORY - THE MUSICAL,2022-04-18,MUSICAL
COMEDY OF ERRORS,2022-03-01,COMEDY
"COMMITMENTS, THE",2021-09-15,MUSICAL
CONSENSUAL,2022-03-12,DRAMA
CONSTELLATIONS,2022-02-03,DRAMA
CREDITORS,2021-12-01,DRAMA
"CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME, THE",2022-01-10,DRAMA
CYMBELINE,2022-03-07,DRAMA
DAWN FRENCH: 30 MILLION MINUTES ,2022-06-13,COMEDY
DEAR LUPIN,2022-05-09,COMEDY
DEATH OF A SALESMAN,2022-04-20,DRAMA
DR SEUSS'S THE LORAX,2021-10-23,DRAMA
"ELEPHANT MAN, THE",2022-06-14,DRAMA
ELF THE MUSICAL,2022-02-27,MUSICAL
"ENTERTAINER, THE",2022-06-11,DRAMA
EVENING AT THE TALK HOUSE,2021-09-15,DRAMA
EVERYMAN,2022-06-18,DRAMA
FARINELLI AND THE KING,2022-07-02,DRAMA
"FATHER, THE",2021-09-07,DRAMA
FUTURE CONDITIONAL ,2022-04-03,DRAMA
GREEN DAY'S AMERICAN IDIOT,2021-10-31,MUSICAL
GROUNDHOG DAY,2021-12-04,MUSICAL
GUYS AND DOLLS,2022-07-05,MUSICAL
GYPSY,2021-09-02,MUSICAL
"HAIRY APE, THE",2022-05-18,DRAMA
HAMLET,2022-04-13,DRAMA
HARLEQUINADE / ALL ON HER OWN (Double Bill),2022-05-10,COMEDY
HARRY POTTER AND THE CURSED CHILD,2022-04-28,DRAMA
HAY FEVER,2022-08-07,COMEDY
HERE WE GO,2022-06-10,DRAMA
"HERESY OF LOVE, THE",2022-02-19,DRAMA
HETTY FEATHER,2022-02-05,DRAMA
HIGH SOCIETY,2022-05-07,MUSICAL
HUSBANDS AND SONS,2022-02-12,DRAMA
I WANT MY HAT BACK,2022-05-18,DRAMA
"IMPORTANCE OF BEING EARNEST, THE",2022-01-09,COMEDY
JANE EYRE,2022-04-25,DRAMA
JERSEY BOYS ,2021-10-23,MUSICAL
KINKY BOOTS ,2022-08-23,MUSICAL
LA MUSICA,2021-12-31,DRAMA
LES LIAISONS DANGEREUSES,2022-02-21,DRAMA
LES MISERABLES,2022-02-12,MUSICAL
LET IT BE,2021-11-20,MUSICAL
LIGHTS! CAMERA! IMPROVISE!,2022-04-28,COMEDY
"LION KING, THE ",2022-01-08,MUSICAL
LORD OF THE DANCE  - DANGEROUS GAMES,2021-10-19,MUSICAL
"LORD OF THE FLIES, THE",2021-09-03,DRAMA
MA RAINEY'S BLACK BOTTOM,2022-05-10,DRAMA
MACBETH,2022-05-17,DRAMA
MACBETH (in Cantonese),2022-08-07,DRAMA
MAMMA MIA!,2022-06-24,MUSICAL
"MASTER BUILDER, THE",2022-08-03,DRAMA
MATILDA THE MUSICAL,2022-03-27,MUSICAL
MEASURE FOR MEASURE,2022-08-08,DRAMA
MEDEA,2021-09-30,DRAMA
MEMPHIS THE MUSICAL,2022-05-10,MUSICAL
"MENTALISTS, THE",2022-01-10,COMEDY
"MERCHANT OF VENICE, THE",2022-05-03,DRAMA
MISS SAIGON,2021-12-19,MUSICAL
"MOTHERF**KER WITH THE HAT, THE",2022-07-12,DRAMA
MOTOWN THE MUSICAL,2022-05-02,MUSICAL
"MOUSETRAP, THE ",2022-08-12,DRAMA
MUCH ADO ABOUT NOTHING,2022-07-18,COMEDY
MY CHILDREN! MY AFRICA! ,2021-10-16,DRAMA
NELL GWYNN,2022-02-16,DRAMA
"NUMBER, A",2022-01-22,DRAMA
OMEROS,2022-04-25,DRAMA
ORESTEIA,2022-06-21,DRAMA
OUR COUNTRY'S GOOD,2022-03-24,DRAMA
"PAINKILLER, THE",2022-05-21,COMEDY
"PEOPLE, PLACES AND THINGS",2022-03-27,DRAMA
PERICLES,2021-12-12,DRAMA
"PHANTOM OF THE OPERA, THE",2022-07-25,MUSICAL
PHOTOGRAPH 51,2022-05-21,DRAMA
"PLAY THAT GOES WRONG, THE",2021-12-11,COMEDY
POMONA,2022-06-21,DRAMA
"RED LION, THE",2021-11-04,DRAMA
RICHARD II,2021-09-09,DRAMA
RICHARD III (in Mandarin),2022-08-04,DRAMA
ROMEO AND JULIET,2022-03-04,DRAMA
SEVEN BRIDES FOR SEVEN BROTHERS,2022-08-02,MUSICAL
SINATRA AT THE LONDON PALLADIUM,2021-09-08,MUSICAL
SONG FROM FAR AWAY,2022-06-03,DRAMA
SPLENDOUR,2022-05-01,DRAMA
STOMP,2021-12-10,MUSICAL
SUNNY AFTERNOON,2022-06-24,MUSICAL
TEDDY FERRARA,2021-09-19,DRAMA
"TEMPEST, THE",2022-01-27,DRAMA
TEMPLE ,2022-05-07,DRAMA
THE ODYSSEY: MISSING PRESUMED DEAD,2021-11-03,DRAMA
THOMAS TALLIS,2021-11-06,DRAMA
THREE DAYS IN THE COUNTRY,2021-09-01,DRAMA
"THREE LITTLE PIGS, THE ",2021-11-07,MUSICAL
THRILLER  LIVE,2022-01-09,MUSICAL
TO KILL A MOCKINGBIRD,2021-10-16,DRAMA
"TRIAL, THE",2022-02-22,DRAMA
WAR HORSE,2022-03-03,DRAMA
WASTE,2022-05-17,DRAMA
WICKED ,2022-06-05,MUSICAL
"WINTER'S TALE, THE",2022-06-23,DRAMA
"WOMAN IN BLACK, THE",2022-02-09,DRAMA
WONDER.LAND,2022-01-20,MUSICAL
